transit_time,177282821_lk,177282821_scaled,271972426_lk,271972426_scaled,306894095_lk,306894095_scaled,55452078_lk,55452078_scaled,55557707_lk,55557707_scaled,231097055_lk,231097055_scaled,177238322_lk,177238322_scaled,294399068_lk,294399068_scaled,388182039_lk,388182039_scaled,149422364_lk,149422364_scaled,177077336_lk,177077336_scaled,261258146_lk,261258146_scaled,167794129_lk,167794129_scaled,300809119_lk,300809119_scaled,349275562_lk,349275562_scaled,300510333_lk,300510333_scaled,306779124_lk,306779124_scaled,453099619_lk,453099619_scaled,31266926_lk,31266926_scaled,277301936_lk,277301936_scaled,364588606_lk,364588606_scaled,25132314_lk,25132314_scaled,30631031_lk,30631031_scaled,388131027_lk,388131027_scaled,349156177_lk,349156177_scaled,349829477_lk,349829477_scaled,349902873_lk,349902873_scaled,38906005_lk,38906005_scaled,391925969_lk,391925969_scaled,404852431_lk,404852431_scaled,149503727_lk,149503727_scaled,220414682_lk,220414682_scaled,300739852_lk,300739852_scaled,141627237_lk,141627237_scaled,167203674_lk,167203674_scaled,231091547_lk,231091547_scaled,140802488_lk,140802488_scaled,141269997_lk,141269997_scaled,141610486_lk,141610486_scaled,32072326_lk,32072326_scaled,271723402_lk,271723402_scaled,272128326_lk,272128326_scaled,167004255_lk,167004255_scaled,294626591_lk,294626591_scaled,349574361_lk,349574361_scaled,167888736_lk,167888736_scaled,349271114_lk,349271114_scaled,349483265_lk,349483265_scaled,141807629_lk,141807629_scaled,177310181_lk,177310181_scaled,300138745_lk,300138745_scaled,25078597_lk,25078597_scaled,177306969_lk,177306969_scaled,277108325_lk,277108325_scaled,31189268_lk,31189268_scaled,40898510_lk,40898510_scaled,277018227_lk,277018227_scaled
1,11191.2355573736,13381.5854093768,9357.48618822397,10947.8147663494,5693.63698051787,6842.34399918482,1578.81671611789,1855.95322536157,1995.34308611048,2407.35367333493,1795.08739389803,2103.45116330476,1652.63038612611,2014.55885864887,985.528745492198,1193.20683602452,1548.760734449,1859.82040864873,1381.02491862888,1670.73803190704,1337.92395877114,1635.99830640395,811.102903938058,963.479827111233,720.780624196,880.429382937093,812.917892006315,965.829720136554,895.705158651857,1074.83686156553,1089.96831566362,1330.41339135963,1433.44885800147,1692.20857644932,508.770103998497,606.474716770096,1086.34365769022,1319.09733653006,1012.23937892171,1192.5959843692,1140.04767318799,1354.18525033635,1124.93397211094,782.8265609957,824.815479458641,1004.08135519942,2366.89080059513,999.91774237085,339.839117677792,409.013389117949,530.789523505782,644.094155314663,1268.39154004799,2478.38565818531,1035.35280268193,1257.1777385004,1268.54986246251,1520.43515973805,1293.20432526038,1541.25123336112,1552.3742165596,1879.29583175764,661.558722185868,862.463474706013,1452.81718705177,1750.50631395797,840.063949825271,1227.75697794984,765.222135087627,1081.14368974638,851.536272605203,1174.84458387754,696.776582746105,960.386779950176,668.68628057511,942.532520447945,648.547027700803,900.148340805463,816.740465819652,1001.94145876459,809.572079936459,954.208162628656,765.97701331448,991.53334280445,1288.3827408813,1540.45418967347,1104.95446262288,1309.60181925277,1096.69811821931,1289.70463333295,3303.55623168599,3952.51012097869,2261.61180223754,2690.33632384421,2798.59869584579,3407.7716106067,1513.93424806377,2193.63080684543,3382.74563976791,4552.24668112009,2803.86089258758,3345.49317173023,3522.32779764028,4413.93390753782,4620.83457464012,6158.17978285565,4825.92940974993,5730.1006894443,8851.10241633598,10415.1974681864,16413.2036071227,20309.2691862001,10381.7505703929,12301.3846893396
2,7924.89652454269,9462.20978599732,6617.78367453056,7741.27406045985,4033.66804700698,4838.26784103467,1117.99593572393,1312.35711121821,1414.60876959769,1702.25610712947,1269.47632221056,1487.36458146753,1212.84927237679,1424.50823005005,711.631868461252,843.724645111086,1097.59880754175,1315.09162274465,987.435058786615,1181.39019194774,958.243903113286,1156.82549646794,574.083298739413,681.283119286796,518.140904156352,622.557587030706,576.614955198843,682.944744580063,672.938791762753,760.024433482255,773.308613365412,940.744330811783,1015.39219802206,1196.57215958935,360.688507009039,428.842384846326,769.663456952738,932.742671705522,715.191102854897,843.292707763309,807.197278715464,957.553573495637,1075.78867124115,553.541969773004,790.346833366374,709.992735124485,2343.60833348347,707.048616259171,241.317033625386,289.216141041393,375.731508461604,455.44334494562,1187.79015720216,1752.48330529832,733.824518857496,888.958904050401,898.314869680508,1075.11001180523,916.25073662549,1089.82919862178,1100.35111949854,1328.86282649144,472.169409850127,609.853771490334,1030.10972956427,1237.79488510955,630.927520556269,868.155284757434,577.534267191564,764.484034456713,647.03241831271,830.740572100098,535.292847805845,679.096004664682,499.73625889416,666.47113669759,483.692556056406,636.500995857362,651.369772600005,708.479599844385,666.552140635929,674.727062458278,598.712787623573,701.119950469592,930.891645086879,1089.26560362534,821.28320010574,926.028327047873,816.186944768515,911.958891957437,2357.7018960445,2794.84670925249,1615.31608302911,1902.35505826273,1997.30707283469,2409.658414595,1175.38725137545,1551.13121894012,2556.5234214901,3218.92449785397,2129.176535517,2365.62090814374,2506.88566335355,3121.12259772923,3344.33412692386,4354.49068422313,3420.20916344007,4051.79305438777,6262.44529440837,7364.65675715154,11675.8590186785,14360.8219625051,7349.1430660322,8698.39253181643
3,6477.93861389525,7725.86193828768,5404.08247561869,6320.72380238996,3300.74518130944,3950.42914981738,914.112286503101,1071.53509426586,1156.89219948736,1389.88629133455,1036.9326068386,1214.42809536123,1024.46639322019,1163.10609933927,592.720171191269,688.898287977661,898.445915090682,1073.7678135777,817.233205828543,964.601052466876,791.419780579525,944.544062596093,469.161700081481,556.265337541445,429.909141599178,508.316141241187,471.888024193148,557.622048912181,580.104031882263,620.557351359793,633.870932446606,768.114529634963,829.501988341702,976.997077138011,294.948295000322,350.148340983917,629.576377403572,761.581202332951,584.063734627222,688.545612610026,659.851679249712,781.839218814313,1058.74331322454,451.965125719656,778.118730275683,579.706640712667,2335.69992943931,577.302777725293,197.791905431012,236.143990309409,307.153782289117,371.867933954385,1158.76890483155,1430.896626909,600.692135611219,725.831905742411,735.572271910126,877.823648760134,749.864225510684,889.841814469887,901.030048470582,1085.01195435221,389.083002426066,497.943519287736,843.430740748159,1010.65529158177,543.822216082664,708.845821718782,499.471386041052,624.19860030774,562.396549755522,678.296836757673,468.73391567097,554.479565930392,428.918775494601,544.171404400597,414.369601874802,519.700886874629,585.80896134514,578.471170929984,611.31363169303,550.912339556593,531.569694593111,572.462042378639,775.567449025914,889.381641082264,702.051345806586,756.09896287681,698.9241842918,744.611317229885,1944.05290807441,2281.98278232177,1333.39405316349,1553.26640078209,1646.91282016519,1967.47785672054,1038.34609908751,1266.49333683487,2214.5996512068,2628.24084676226,1857.13444833216,1931.52138327051,2062.02166798989,2548.38592970218,2791.03799809691,3555.42675534982,2799.06897536088,3308.27517553432,5119.21572982206,6013.2170619205,9598.66694053953,11725.5620316972,6018.02998115825,7102.20776179538
4,5619.48691606922,6690.79270468842,4682.54474843282,5473.90738317468,2864.2077881165,3421.17199959241,792.4659672279,927.976612680784,1003.39782456153,1203.67683666746,898.150577406822,1051.72558165238,915.542307280105,1007.27942932443,523.014314824128,596.603418012262,779.706331421456,929.910204324364,717.30238709999,835.369015953521,693.082371519496,817.999153201976,406.569143468717,481.739913555617,378.151262403787,440.214691468547,409.273251691271,482.914860068277,527.534130002331,537.418430782766,551.105688315429,665.206695679813,718.842117029922,846.104288224662,255.753556929761,303.237358385048,546.321949524123,659.548668265033,506.124985734891,596.297992184601,571.979423150149,677.092625168176,1050.0452553916,391.41328049785,771.471507537281,502.040677599708,2331.64916843141,499.958871185425,171.827654768482,204.506694558974,266.378055794457,322.047077657332,1143.24878637251,1239.19282909266,521.411951857136,628.5888692502,638.772433239992,760.217579869025,650.51632068212,770.625616680561,782.676479811605,939.647915878818,339.853081402239,431.231737353006,732.317319493775,875.253156978985,494.177779178174,613.87848897492,455.298933308171,540.571844873192,514.82356657901,587.422291938771,431.438011421292,480.193389975088,388.724659855021,471.266260223972,375.137640759836,450.074170402732,550.072879316103,500.970729382297,581.658249749263,477.104081314328,494.552110805596,495.766671402225,684.595594745538,770.227094836734,634.102038174563,654.800909626385,631.957731435748,644.852316666474,1700.04829550664,1976.25506048934,1167.57941546525,1345.16816192211,1439.97153506086,1703.88580530335,962.087898635568,1096.81540342272,2021.57258700372,2276.12334056005,1704.88548068242,1672.74658586512,1797.64849565684,2206.96695376891,2467.34982395819,3079.08989142783,2428.85150025182,2865.05034472215,4436.77123939349,5207.59873409318,8366.85859387297,10154.6345931,5227.92254372038,6150.69234466982
5,5035.31001261051,5984.42692441719,4190.66079604253,4896.01160452663,2565.43931520335,3059.989261523,709.109894011464,830.007514993691,898.581382842125,1076.60129189214,803.486053163849,940.691957700091,843.173226854257,900.938110522652,476.19427175751,533.618319313656,698.708833699121,831.736971935999,650.140238433011,747.176762387671,626.649872387848,731.640684838753,363.844323975754,430.881277674093,343.367061821786,393.739989927107,366.464746279854,431.932181782987,493.133224666112,480.681657436613,494.773143257252,594.978956251231,643.508189799617,756.778681809767,229.080877554201,271.223738666573,489.412874705274,589.918262684028,452.980951839025,533.345138148563,511.832041402719,605.61005477593,1044.74660676475,350.090680995754,766.979698537159,449.038833033201,2329.13219975475,447.176808769869,154.076425603751,182.916348355061,238.63315967337,288.047663038779,1133.11237010486,1108.36776123258,467.227943358623,562.22697661727,572.300681433884,679.959274511006,582.609479786513,689.268505640172,702.175321683579,840.446645928417,306.377431371816,385.705391510663,656.530864476086,782.850222610521,461.773602205091,549.06961250911,426.558792426527,483.502156743572,484.099599985185,525.406470509527,407.14189678406,429.498024932145,362.484867162447,421.513357345163,349.440208011858,402.558575974933,527.384398543032,448.081842254587,563.169848794314,426.73486326457,470.911246228748,443.427191293671,623.580131850327,688.912056866846,589.64394136024,585.671738261317,588.323434498038,576.773446205782,1534.91878637329,1767.61626245285,1055.07607191733,1203.15498049051,1300.06206453564,1524.0017946221,913.044499245955,981.021520328818,1896.38545151449,2035.82660586647,1606.84240579557,1496.15003005004,1617.87820523794,1973.97125308917,2250.64790290279,2754.02172242603,2176.2782084874,2562.57893190317,3971.17298381956,4657.81790758968,7527.19647419429,9082.58129473703,4687.08313496148,5501.34647654771
6,4605.03212944196,5463.00936707426,3828.08845479387,4469.42666267716,2344.6658220077,2793.37524043287,647.67069478861,757.689731434753,821.543758708928,982.798021680884,733.714811659354,858.730341493392,791.077572448031,822.440210082231,442.275739360731,487.124650976807,638.553530407356,759.268502400647,601.178695202352,682.075945339009,578.309367970053,667.893511791188,332.358625693016,393.338992314579,318.008151345104,359.433790458222,334.906011994368,394.298332124939,468.740365502609,438.800311261673,453.292474395589,543.138992632797,588.012801112281,690.841258443724,209.367023591396,247.592266330947,447.640188610606,538.519232593834,413.867928727559,486.875271832795,467.403083338205,552.843813421194,1041.15781552527,319.587605256199,763.470967721723,409.9144967468,2327.37842070818,408.214708927385,140.966468031937,166.979016884233,218.146840706774,262.950337804977,1125.56720267669,1011.79670806431,427.471244508446,513.240662552014,523.0994036649,620.715054724209,532.287254685321,629.213181194999,642.84940930305,767.219310590919,281.789983619744,352.099239136253,600.568514923656,714.641210119539,438.888044254311,501.229687353101,406.189120700692,441.375063084755,462.354624014323,479.628292928735,389.931073472284,392.076261098754,343.884424102138,384.787290179469,331.145250728217,367.484021297713,511.663642092569,409.040887685514,550.433892969266,389.553851139812,454.434871429388,404.791792137836,579.263080167558,628.887789472089,557.980599227538,534.642703898308,557.186809127776,526.519711761499,1413.68811725855,1613.60549993067,972.792914825569,1098.32520498223,1197.66332313492,1391.21693432147,878.576148224397,895.546026803511,1808.04486402356,1858.44692533707,1537.88796497603,1365.7918681174,1486.01302999508,1801.98097197279,2093.85144132765,2514.06636871994,1990.77450928308,2339.30381065144,3626.36147259976,4251.98656123064,6910.34689317144,8291.22442583659,4288.77163056476,5022.01926976125
7,4270.62327865873,5057.76387728308,3546.65701389212,4137.88503876587,2172.57181737829,2586.16294379974,600.060335973639,701.484382753561,761.823640568296,909.894162488862,679.643696359008,795.029810439129,751.605109296174,761.43167735529,416.35464603852,450.989792969017,591.922455647174,702.946040646722,563.599254890952,631.479619766219,540.904178862669,618.349237723958,307.913199851765,364.161145109119,298.481910485048,332.771027743658,310.324547294425,365.049321188062,450.341710706561,406.250147952508,421.149428112266,502.84899634966,544.655670504655,639.594722819363,194.033485019598,229.22589671743,415.309458320663,498.571929649461,383.433007943643,450.758912745026,433.024639146075,511.833914500248,1038.54301692052,295.880628584365,760.452389299967,379.507080276338,2326.05603972267,377.933382547775,130.7912380821,154.592530071683,202.211931958804,243.44470798183,1119.35796906653,936.741729209639,396.601815257696,475.168521411236,484.925612936988,574.670473895092,493.267883528749,582.538210192158,596.584278012756,710.307058678712,262.651855024033,325.980552706965,557.119517661415,661.629196454449,421.774844285936,464.048519154213,390.912152051653,408.633904942244,446.071756169703,444.04951401302,377.137092847985,362.992083168897,329.928517073142,356.243807385166,317.399575411879,340.224093262667,500.091861879719,378.698275448056,541.130914383964,360.656785329043,442.250130612007,374.764377384161,545.380598426623,582.236955994788,534.315335794694,494.982961465798,533.80461801862,487.462532075246,1320.23487496523,1493.90840493935,909.684997672028,1016.85155085936,1118.7189652603,1288.01660093877,852.862363465307,829.114511886139,1741.83505321656,1720.58751783756,1486.14296802784,1264.47756360899,1383.96984231692,1668.31020326009,1973.73816397054,2327.57317632311,1846.49201603283,2165.77448737562,3357.2073041236,3936.57462235009,6434.20652133972,7676.18222516464,3978.7938251221,4649.48638139003
8,4000.66309115705,4731.10489299866,3320.24416182116,3870.63703022992,2033.67693729427,2419.13392051733,561.703992471425,656.178555609105,713.790743111089,851.128053564735,636.199889843261,743.682290733764,720.470017808893,712.254115025023,395.781169619559,421.862322555543,554.356036795993,657.545811372326,533.699205351997,590.695095973868,510.977114223105,578.412748233971,288.223474895898,340.641559643398,282.946515942879,311.278793515353,290.426543577503,341.472372290031,435.98073196436,380.012216741127,395.270424539176,470.372165405892,509.638171961152,598.286079794676,181.64668398172,214.421192423163,389.378291000457,466.371335852761,358.836352876594,421.646353881655,405.360977967054,478.776786747818,1036.54609499467,276.770984886502,757.670977883487,354.996367562243,2324.99840566763,353.524308129586,122.627156538498,144.608070520697,189.372286034226,227.72167247281,1113.88307003617,876.24165264916,371.690289012992,444.479452025201,453.993075076967,537.555005902613,461.71481403644,544.91459931089,559.336556310609,664.431413245719,247.225800565108,304.926885745167,522.29716276154,618.897442554774,408.386098333906,434.077642378717,379.015087664499,382.242017228357,433.440130536545,415.370286050049,367.218233868973,339.548002332341,319.013132897796,333.235568348795,306.672942975417,318.250497928681,491.2331661931,354.239799922193,534.047382248893,337.363531229139,432.848576651254,350.559975234796,518.494620638701,544.632801812669,515.794896765032,463.014163523937,515.576885624966,455.979445978719,1245.57764297013,1397.42335462625,859.354059456745,951.177529131366,1055.35612675683,1204.8292072975,832.811014726341,775.565609470061,1690.0854304832,1609.46224892699,1445.83714682954,1182.81045407187,1302.01384262455,1560.56129886461,1878.58278126881,2177.24534211157,1729.8582445268,2025.89652719389,3140.31754108023,3682.32837857577,6053.61026584031,7180.41098125253,3729.18019278258,4349.19626590821
9,3778.23953803493,4460.52846979228,3132.10514314749,3649.27158878312,1918.28863940683,2280.78133306161,530.025821982348,618.651075120523,674.095757888572,802.451224444975,600.308011098815,701.150387768253,695.02424527204,671.519619549623,378.956734403633,397.735612008175,523.157059867715,619.940136216243,509.212128516086,556.912677302347,486.503854384084,545.332768801317,272.011501936315,321.159942370411,270.197599957016,293.476460979031,273.899523125863,321.943240045518,424.445878593939,358.278953855178,373.806797761361,443.471130453208,480.51191251365,564.069525483108,171.380045047681,202.158238923365,367.889689377818,439.699112176688,338.454402049427,397.531994789734,382.502745518465,451.395083445451,1034.96676597024,260.942186998566,754.984127048674,334.693785066472,2324.11596942085,333.305914123617,115.87770307369,136.33779637265,178.741903419775,214.698051771554,1108.81523189302,826.128552728438,351.082899939614,419.0592461668,428.363597108322,506.811719912683,435.599712592317,513.750411120374,528.347846300704,626.431943919212,234.394601860711,287.487824902004,493.35378115384,583.502104652656,397.649435016006,409.25232598328,369.472390761206,360.381229915462,423.362283821523,391.614861292514,359.268970596426,320.128926650059,310.226069075171,314.177506815981,298.048132275587,300.049446935154,484.245003492108,333.980486254864,528.460210364693,318.069387542885,425.346177178463,330.51111426815,496.54900662511,513.484729891156,500.820023643056,436.533939750923,500.799594643327,429.901544444316,1184.13490054916,1317.50337365956,818.114315168367,896.778774614738,1003.30104048589,1135.92387020223,816.551564024756,731.210268948477,1648.46965299928,1517.41556037336,1413.39955343661,1115.16439057675,1234.45292488761,1471.31130251261,1801.0249133684,2052.72659428522,1633.05152308097,1910.0335631481,2960.78181971225,3471.73248939545,5740.44232818865,6769.75639540002,3522.40176279957,4100.46156311321
10,3590.52717008543,4231.62885977075,2971.98185472671,3462.00300632881,1821.10852396476,2163.73915718093,503.258450116077,586.903942287834,640.436911582983,761.272074131132,569.852873846058,665.169662297383,673.805714545389,637.059447379962,364.929490015601,377.325132152055,496.705328371111,588.12685301951,488.753694016616,528.333755429332,466.001836462819,517.348089641452,258.279500844393,304.679073329675,259.507227717152,278.41621690178,259.926391695362,305.42217475145,414.957411858219,339.893259565418,355.74276274866,420.713654628539,455.823984285721,535.123337765103,162.69459053845,191.784144829902,349.614293897218,417.135203889664,321.241265447284,377.131963897725,363.159875736202,428.230976486817,1033.67097691878,247.551494562314,752.308028899443,317.51840385387,2323.35213208122,316.201753870534,110.198227412933,129.341390311745,169.77105269131,203.680455839658,1103.96860490488,783.734360016112,333.586923915049,397.554507732082,406.673645743162,480.803813937417,413.635125705495,487.386434396484,502.202211155145,594.285522561473,223.506197065171,272.734897877402,468.912768626624,553.558701061298,388.836334066025,388.250846348662,361.655132179832,341.887653751701,415.117367238677,371.518478176577,352.724890656169,303.700965935749,302.956403408369,298.054953339473,290.93453345406,284.651898896675,478.557330669803,316.841709184779,523.918209521647,301.747115583091,419.210810681696,313.550373926259,478.16495969395,487.134387051719,488.463195300702,414.13245767389,488.622067905293,407.840415020443,1132.5926494039,1249.89344571603,783.403623720471,850.759045523208,959.448546129268,1077.63200351776,802.984285147809,693.686969514444,1614.20514460738,1439.54679832817,1386.71837669121,1057.93783192084,1177.35831562752,1395.80845892666,1736.3485521902,1947.3874354625,1551.12902535454,1812.01694007451,2809.46383905479,3293.5746279888,5476.38611693446,6422.35482418665,3347.96971137238,3890.03939922361
