ticid,gaia_id,group,logg,t_eff,fe_h,gaia_mag,CDPP0_5_mean,CDPP0_5_med,CDPP0_5_std,CDPP1_0_mean,CDPP1_0_med,CDPP1_0_std,CDPP2_0_mean,CDPP2_0_med,CDPP2_0_std
177282821,Gaia DR2 5265496142434954624,1,4.99374,3523.11,-0.200949,14.167,2443.132061299231,2521.39868164,408.01505434992066,1791.7810152492307,1843.54492188,294.23577110409536,1332.75358699,1384.32751465,211.60832885777882
271972426,Gaia DR2 5214262787527949312,1,5.0111,3545.17,-0.132069,13.5196,1998.7883676392303,2128.83081055,365.8710547933315,1459.694655197692,1527.91101074,262.53796378823574,1082.4841449438459,1112.18017578,194.08698978174556
306894095,Gaia DR2 5269688167956144768,1,5.01615,3516.67,-0.185839,13.605,1249.2353848545454,1246.5135498,78.49197725728736,908.6760309381818,898.32891846,62.27252885868101,679.2250144272726,651.09490967,64.24150625463184
55452078,Gaia DR2 4664959628833408128,2,4.79867,4023.02,-0.215119,11.2855,338.84914906833336,337.65400696,9.801937927219164,248.74445470083333,248.321586605,8.1892309288183,187.0054283141667,186.961486815,8.359422632935466
55557707,Gaia DR2 4761818043368352384,2,4.74631,4044.29,-0.333689,11.6788,439.5206369261538,434.24716187,20.170039503754246,319.1603135323078,315.76272583,14.567106214503195,239.63350853615384,237.15701294,13.22923331916651
231097055,Gaia DR2 4655804854508423296,2,4.73851,3997.15,-0.157349,11.5391,384.03588358416664,385.21305846999996,11.20571011016425,277.3171844491667,274.44824219,10.071407404506527,203.62021001166667,201.38998413,9.155954315483179
177238322,Gaia DR2 5268483348025769088,3,4.56017,4468.99,0.0054774,11.1049,367.8064434346154,363.17355347,24.152673624005413,283.00710355384615,276.17684937,24.292925095003564,228.62240248384614,222.2068634,29.117592340879476
294399068,Gaia DR2 5485519001951930624,3,4.63217,4492.0,-0.034568,10.166,217.84876662000002,213.38671875,11.140425268616202,163.54959341307693,158.55764771,12.169501863214952,128.9064601023077,121.29991913,13.788009818691467
388182039,Gaia DR2 5261019485139326336,3,4.56587,4536.87,0.206971,11.0943,339.55519690846154,339.07113647,10.064351039379439,246.78668799692306,245.91778564,8.063595217485053,184.4783653846154,185.89233398,7.6031633688583975
149422364,Gaia DR2 4757498547522422272,4,4.66656,4991.17,0.09651,10.6647,305.0336359190909,298.94836426,27.166461457083567,230.58450594818186,226.45491028,24.095821667114265,179.92946555545453,176.61352539,24.668017953130718
177077336,Gaia DR2 5266607095856190976,4,4.65938,4961.17,0.074516,10.6626,298.69105881923076,293.73571777,26.23656234733692,225.28274066615387,219.8104248,25.201045349361443,176.28604712923075,170.33354187,26.980926365248834
261258146,Gaia DR2 4623695747716209024,4,4.69076,4975.02,-0.292709,9.68487,175.90654500333335,175.57191467,6.643271466678514,127.53826522666667,127.10770416,7.643446602738475,95.043158215,93.190532685,8.167227165743109
167794129,Gaia DR2 5285201422327137920,5,4.41098,5799.36,0.004652,9.24401,160.743677775,159.641601565,4.88738874709794,119.05197906666666,117.33465576500001,5.784749478887504,91.5567315425,90.05772400000001,7.472596879543474
300809119,Gaia DR2 5274061170513880320,5,4.39276,5730.16,-0.09467,9.53095,176.33557480923076,174.23493958,9.975798138485782,128.3016234176923,126.18507385,10.127137116459968,95.03110151999999,93.09080505,9.824261235064316
349275562,Gaia DR2 5282328020487289856,5,4.44666,5800.89,0.183911,9.54279,196.23746490583332,191.31377411,13.844592842222186,151.70202128,147.66790771,13.871030612468441,126.52924919083334,121.420570375,16.800951275867728
300510333,Gaia DR2 5267565977371416832,6,4.31463,5169.03,0.282181,10.1854,242.89914175153848,234.63374329,26.211678541431198,178.68112065307693,173.45439148,25.88783728365612,134.6682134776923,128.24334717,23.88003576331488
306779124,Gaia DR2 5269440468601797504,6,4.25274,5197.17,-0.214859,10.6998,308.9536031083333,309.65420531999996,9.708341636270694,224.11441039916667,223.36778259,8.33770967322244,166.02251179833337,164.628082275,7.520794317089719
453099619,Gaia DR2 5270707831848146944,6,4.27894,5207.71,0.181761,8.61074,110.72662764384614,111.21179962,3.5384306123646154,80.52904451769231,80.01597595,3.843301016198747,60.094346266153835,59.82558441,4.1602361538174675
31266926,Gaia DR2 4656829977313523072,7,4.17702,6273.73,-0.112469,9.99688,240.83312225416662,237.663833615,10.369579654188607,177.1632932025,172.735099795,10.481715987316468,134.02858225583336,129.52507782,10.841378777357761
